ROADIE	Band hand
CALAIS	City near the eastern end of the Chunnel
CALAIS	Closest French town to England
CALC	It may follow trig
CALC	Trig follower, perhaps
CALDERA	Volcanic crater
CALEB	Spy in the land of Canaan
CALF	Maverick, e.g.
CALLITQUITS	*End an affair
CALLTO	Hail
CALYX	Flower's sepals, collectively
CAM	Mitchell's partner on "Modern Family"
CAMARO	Muscle car since 1966
CAMARO	Mustang rival
CAME	Made the scene
CAMEBACK	Returned
CAMERAMANDIAZ	Film star's twin who works on a movie set?
CAMPFIREGIRL	Madonna was one as a tween
CAMPS	Counselors' workplaces
CAMUS	The Fall author
CAN	Sardine container
CANCAN	Moulin Rouge performance
CANE	Prop for Mr. Peanut
CANIT	Be quiet!
CANOES	Lake rentals
CANS	Fires
CAPABLETELEVISION	Pay-per-view option for can-do subscribers?
CAPECOD	Hook-shaped peninsula
CAPITA	Heads, to Horace
CAPRA	Pocketful of Miracles director
CAPT	Cmdr.'s superior
CAR	Capri or Corsica
CARAT	Fifth of a gram
CARAVEL	Spice trade vessel
CAREERS	Callings
CAREFOR	Like
CARIBBEANSI	Agreement in the Antilles?
CARING	Compassionate
CARL	Billionaire Icahn
CARON	Astaire's "Daddy Long Legs" co-star
CART	E-commerce site feature
CARTA	Magna ___
CARY	Grant in the movie biz
CASA	Baja abode
CASA	Jorge's home
CASABAS	They have furrowed rinds
CASBAH	Algiers attraction
CASE	Beer buy
CASH	Alternative to plastic
CASHFLOW	Movement of funds into and out of a business
CASHOPTION	Lottery winner's choice
CASPERWYOMING	Where Dick and Lynne Cheney met
CASSATT	The Child's Bath painter
CAST	Group of players
CASTASIDE	Discard
CASTS	Companies with lines
CAT	Angry hisser
CATER	Do the dishes?
CATER	Job at a reception
CATFISHHUNTER	Baseball's highest-paid pitcher in 1975
CATO	Carthage must be destroyed speaker
CAUSTIC	Having many barbs
CAUSTIC	Like Don Rickles
CAVE	Give in
CAVE	Knuckle under
CAW	Rookery sound
CBRADIO	You might have a handle on it
CBS	Elementary airer
CCC	Lousy bond rating
CCX	Cato's 210
CDE	Three after B
CDIII	XIII times XXXI
CDROM	AOL giveaway of the past
CDS	IRA choices
CEASE	Terminate
CEASES	Winds up
CECIL	Fielder who hit 319 homers
CEE	Cold start?
CEE	Semicircular shape
CEE	Semicircular shape
CEE	Semicircular shape
CEELO	Judge along with Adam, Blake and Christina
CEL	Disney collectible
CELESTE	Babar's wife
CELIA	Rosalind's cousin in "As You Like It"
CELLINI	16th-century Italian sculptor
CELLODOLLY	Handcart for moving large instruments?
CELT	Early Briton
CENT	Euro fraction
CENT	Loafer insert
CEO	Biz biggie
CEO	Corp. VIP
CERTS	Brand that contains "Retsyn"
CFO	Corp. money man
CFOS	Corp. money minders
CHAMP	Trophy raiser
CHAPS	Cowboy wear
CHAR	Blacken
CHARLESTONCHEW	Candy created in 1922 and named for a dance
CHARTED	Kept track of
CHASES	Adventure movie staples
CHATUPCAKES	Flirt with tortes?
CHEAPSKATE	Piker in the National Hockey League?
CHEERINESS	Positive quality
CHEERIO	Ta-ta!
CHEMIST	One who might get a reaction
CHER	Dark Lady singer
CHER	1987 Best Actress Oscar winner
CHERI	Suisse sweetie
CHESS	It includes a lot of checks
CHEWY	Tootsie Roll descriptor
CHEZ	Bistro name word
CHI	Life force, in feng shui
CHIAPET	Green bull, perhaps
CHIC	In vogue
CHIC	Smart
CHIC	Smart
CHILDBITWORTH	Value of a talent show act featuring kids?
CHILL	Flu symptom
CHIMERA	Vain fancy
CHINESETEE	Shanghai shirt?
CHIS	XXX
CHIT	Marker
CHOCOLATERUFFLE	Edible frill on a skirt?
CHOIR	Group that may be at your service
CHUCKLEBERRY	Small fruit that's sort of funny?
CHUM	Bud
CHUTE	Ladder counterpart
CIA	Homeland org.
CIA	OSS replacer
CIAOBELLA	Greeting for a Bolognese beauty
CIN	Bengals, on scoreboards
CINC	Pres., to the military
CINCO	Mayo's special day
CINEMAX	HBO subsidiary
CIO	Corp.'s computer systems overseer
CIO	Org. in a 1955 merger
CIRCA	About
CITY	Spot for some blocks
CLAD	Not nude
CLAIM	Insurance matter
CLAMP	Surgical aid
CLANGS	Fencing sounds
CLAP	Spectator sound
CLARE	County south of Galway Bay
CLARINET	Licorice stick
CLASHOFTHETITIANS	Film about a color mismatch between adjacent Venetian paintings?
CLAUDE	Rains in the movies
CLAW	Hammer part
CLAWDIGGERS	Tools for moles?
CLEANUP	Remove profanity from, say
CLEARINGHOUSES	Information brokerages
CLEO	Geppetto's goldfish
CLERKGABLE	Actor's twin who's good at paperwork?
CLICKIT	Alternative to "Ticket" in a highway safety campaign
CLIO	Advertising award
CLIO	Muse of history
CLIP	Desk tray item
CLIVE	Owen of "Children of Men"
CLOD	Clump of dirt
CLOP	Hoof sound
CLOSECOMB	Boot camp practice
CLOUT	Influence
CLUING	Activity for a crossword creator
CLUMPFISH	Poached entree in a blob?
CMI	Beginning of the 10th century
CMON	Move it!
CNET	Popular tech news site
CNN	The Situation Room carrier
CNOTE	Equivalent of ten sawbucks
COAL	Makeup of some seams
COAL	Stoking supply
COATMUFFIN	Breakfast choice in winter months?
COBRA	Hooded attacker
COCKNEY	Cheapside native
CODAS	Closing passages
CODE	Building inspector's expertise
COED	Like some volleyball teams
COENS	2007 Best Director Oscar winners
COGNAC	Fine brandy
COHO	Pacific salmon
COILANDVINEGAR	Salad dressing with a twist?
COIN	Element of change?
COINAGE	Invented word
COKIE	Journalist Roberts
COLADA	Fruity mixed drink
COLDMOUNTAIN	1997 bestseller by Charles Frazier
COMA	1977 bestseller situated at Boston Memorial Hospital
COMDEN	Green's co-lyricist
COME	Turn up
COMEABOARD	Captain's invitation
COMICS	Shtick figures
COMPARESTOLIGHT	Does a taste test on the full-calorie version?
COMPLACENT	Self-satisfied
CON	Debate side
CON	Opposed to
CONAIR	Blow-dryer brand
CONDI	Dubya's secretary of state
CONDI	One of Dubya's advisers
CONE	Roadwork marker
CONE	Roadwork marker
CONF	Assn. of teams
CONFIDENCERICK	C'mon, Governor Perry, believe in yourself!?
CONIC	Plane curve
CONICAL	Like tepees
CONKS	Beans
CONSCIENCETEACHER	Wanted: Tutor to instill morals
CONSCRIPTSUPERVISOR	Wanted: Sergeant to train draftees
CONSIST	Are made up
CONSTABLEBOY	Wanted: Lad to assist British police
CONSTANTS	They're not variable
CONTACTLINDENS	Talk to the trees?
CONTORTS	Gets all bent out of shape
CONTOURGUIDE	Wanted: Designer for streamlined products
COOL	That's great
COOLER	Bud holder
COOP	Poultry pen
COOS	Speaks affectionately
COP	Booking agent?
COPSE	Thicket
COPSE	Woodsy thicket
COPSHAVENOTHINGTOGOON	TOILETS MYSTERIOUSLY DISAPPEAR FROM PRECINCT...
COPT	Christian in Cairo
COPTO	Admit
COPTOMETRIST	Specialist who checks pupils at the police academy?
CORAL	Pink hue
CORDITE	Gunpowder alternative
CORE	Fuel rods setting
CORETTA	First name in civil rights
CORFU	Vacation spot in the Ionian Sea
CORN	Mawkish material
CORNER	Timeout spot
CORNISH	From Land's End, perhaps
CORNISHHENS	They're always game
CORONAS	Long cigars
CORPSE	Nonspeaking role on "CSI"
CORRALS	Stock holders
CORVETTE	Stingray, for one
COSETTE	Les Miserables girl
COSH	Bludgeon
COST	Go for
COT	Collapsible furniture
COTEDOR	Winegrowing region of France
COULDBE	It's possible
COULDI	Will you let me have a try?
COUNTYKILDARE	Setting for the Irish Derby
COUPLE	Anniversary celebrants
COURT	Match box?
COVEREDBRIDGE	The chess columnist had occasionally ___
COWARDLYION	*Pusillanimous particle?
COWS	Some stock
CPA	Book reviewer, for short
CPA	Filing asst.
CPL	Pvt.'s superior
CPO	USN rank
CRAB	Horseshoe, for one
CRAG	Rugged rock
CRANE	It may raise the roof
CRANIAL	Related to head cases
CRASHEROFBACON	Breakfast serving suitable for the uninvited?
CRASHHARD	Come down abruptly from a high
CRAW	Food crop?
CRAY	Supercomputer brand
CREATE	Forge
CREATE	Whip up
CREDITS	Movie crawl
CREME	Sweet liqueur
CRESTS	Reaches a peak
CREW	Craft's men
CRIBBED	Plagiarized
CRIBROAST	Sunday entree suitable for a baby?
CRIESFOR	Needs desperately
CRISP	Chelsea chip
CRISP	Like autumn air
CRISPY	Like Peking duck
CRITIC	Pan producer
CRO	___-Magnon
CROCKCANDY	Sweet treat kept in a pot?
CRONE	Witch
CRONIES	Political pals
CROON	Emulate Mel Torme
CROP	Shrink the borders of
CROSS	Vampire hunter's protection
CROSSTIE	Track part
CROTCHETY	Like a curmudgeon
CROWS	Playground perchers in "The Birds"
CRT	Old PC monitor
CRUE	Rock's Motley ___
CRUEL	Despotic
CRUSHHAT	Collapsible headgear
CRUTCH	It can hold you up
CSPAN	Carrier of D.C. hearings
CTNS	Shipping units: Abbr.
CTR	Lincoln or Rockefeller: Abbr.
CTRS	Lincoln and Kennedy: Abbr.
CUBE	Take to a higher power
CUBIT	Biblical measure
CUE	Kind of card or stick
CUE	Tool at a table
CUED	Threw a line
CUJO	King killer
CULPA	Mea ___
CULPRITS	They did it
CUM	Summa ___ laude
CUP	Putting target
CUPOLA	St. Peter's topper
CURB	Where the sidewalk ends
CURIO	Collector's item
CURRIE	Clinton secretary Betty
CURS	Cowardly cads
CURS	Junkyard dogs
CURTIS	Lemmon's "Some Like It Hot" co-star
CUTARUG	Dance
CUTSINTO	Incises
CWPOSTWCS	Bathrooms at a Long Island university?
CYBERSTALKING	Harassment with a mouse
CYBORGS	RoboCop and the Terminator, e.g.
CYCLO	Pedicab, in Vietnam
CYD	Dancer Charisse
CYMBALS	Drummer's high-hats or rides
CZECH	Havel, for one
DAB	Apply lightly
DABS	Ointment amounts
DACHAS	Russian retreats
DAD	Catch participant, perhaps
DADA	Man Ray's movement
DAH	Bit of code
DAH	Morse bit
DAIS	Comic-Con panel's place
DAISY	Link in a floral chain
DAISYMAE	Dogpatch girl
DALAI	Mongolian word for "ocean"
DALE	Broad valley
DALE	Valley
DALI	The Burning Giraffe artist
DALI	The Burning Giraffe painter
DAM	Spillway setting
DAME	Woman, in pulp fiction
DAMPS	Deadens acoustically
DAMS	Some power producers
DAN	Brown in bookstores
DANE	Bering, for one
DANGIT	Aw, shoot!
DANNY	Sandy's beau in "Grease"
DANO	Paul of "There Will Be Blood"
DANO	Paul of "There Will Be Blood"
DANSE	___ macabre
DANSK	Copenhagen language, to natives
DAPHNE	Nymph changed to a laurel
DARE	Have the nerve
DARE	Show intrepidity
DARE	Stick one's neck out
DARE	Truth's alternative
DAREI	___ suggest...
DARES	Demonstrates audacity
DARKMAN	1990 Liam Neeson movie
DARLENE	Love of music
DART	Zip
DASHHOME	Make a beeline after work, say
DATED	Out of style
DATES	Oasis treats
DAUB	Do some crude painting
DAVID	Accademia di Belle Arti sculpture
DAVIS	Love of golf
DAVIS	Miles of music
DAWNSON	Suddenly hits
DAWNYANKEES	Bluecoats who get up early?
DAYJOB	Regular employment
DAYSPAOFOURLIVES	Soap opera set in a body-treatment business?
DCCOMICBOOKS	Where superheroes are found in our nation's capital?
DCCOMICSCDS	Investment options for Batman's publisher?
DCI	601, in Rome
DDAY	Omaha Beach event
DDAYS	Critical times
DDAYS	Decisive times
DDE	HST's successor
DDE	HST-JFK go-between
DDS	Drilling deg.
DDT	Banned bug killer
DDT	Infamous insecticide
DEA	Crack team from the Justice Dept.?
DEA	Narc's org.
DEAD	Like a play that's been whistled
DEADSTOPDEAD	Not just a token deceleration/Freeze
DEAL	A handshake may clinch it
DEALERS	They'll give you a hand
DEALS	Negotiating goals
DEAR	Expensive
DEARME	Gracious!
DEARME	Heavens!
DEARTH	Shortage
DEATH	Word in many whodunit titles
DEB	Ball VIP
DEBATED	Like tax legislation
DEBER	Forensic expert
DEBI	Mazar of "Entourage"
DEBRA	Messing of "Smash"
DEBUNKEDCAMPCOUNSELOR	Summer worker who's been caught in a lie?
DEC	Yr.'s end
DECADE	Retrospective segment
DECALS	Burglar alarm warnings
DECAMPS	Bolts
DECIDED	Unmistakable
DEED	Item in a lockbox
DEEM	Consider
DEEPPURPLEHAZE	...a Peter DeRose/Mitchell Parish collaboration with Jimi Hendrix?
DEEPREDS	Burgundy and ruby
DEER	A few bucks
DEERE	World's largest maker of farm equipment
DEERES	Some tractors
DEFAMES	Bad-mouths
DEFAT	Make lean, in a way
DEFENSE	They play with blocks
DEFY	Stand up to
DEG	Univ. award
DEGRADEDTEACHER	Educator who's been shamed?
DEICE	Free of frost
DELETES	Takes out
DELIGHTEDELECTRICIAN	Workman who's very happy to give others power?
DELILLO	White Noise novelist Don
DELOVELY	2004 film in which Kevin Kline played Cole Porter
DELUXE	Five-star
DEMEANEDSTATISTICIAN	Actuary who's abased?
DEMME	The Silence of the Lambs director
DEMOTE	Kick downstairs
DEMS	Reps.' rivals
DEMUR	Express doubts
DEN	Comfy room
DEN	Hibernation site
DEN	Private room
DEN	Residential retreat
DENALI	Athabaskan for "the high one"
DENALI	GMC truck/SUV brand
DENIM	It's in your jeans
DENIRO	Tribeca Film Festival co-founder
DENNISHOPPER	His first film role was Goon in "Rebel Without a Cause"
DENOVO	Afresh
DENSE	Hard to get through
DENSELY	How some regions are populated
DENTE	Tooth, in Torino
DENTED	Headed for the body shop, say
DEPRESSEDREPORTER	Journalist who's in a funk?
DEPT	Cabinet div.
DEPT	Co. division
DEPT	Corp. division
DER	Le : French :: ___ : German
DERAILS	Gets off track?
DERANGEDCOWHAND	Buckaroo who's bonkers?
DERRINGER	It's hardly a big shot
DESC	Fam. tree label
DESERVE	Rate
DESI	First name in 1950s comedy
DESIRES	Yens
DESPAIR	Hopeless
DESSERT	Sweet finish
DETAILSARESKETCHY	CARICATURIST MURDERED...
DEUTSCHEMARK	*German capital, formerly
DEVOTEDCAMPAIGNER	Political ally who's loyal?
DEW	Grass glistener
DEWED	Like a lawn at dawn
DEWY	Like a lawn at dawn
DHABI	Abu ___
DHS	A.L. stand-ins
DIA	Domingo, por ejemplo
DIA	Durango day
DIAL	Clock part
DIALIN	Call Rush, say
DIALO	How to reach an operator
DIALO	How to start a collect call, perhaps
DIALOG	Lines at the movies
DIALS	Dashboard display
DIAN	Simian specialist Fossey
DIDO	Mischievous prank
DIDST	___ thou not hear a noise?: Macbeth
DIE	It's spotted in a casino
DIE	Probability class prop
DIE	Random number generator
DIEGO	Cousin of Dora the Explorer
DIEM	Per ___ (spending allowance)
DIES	Coin-making presses
DIES	Coin-making presses
DII	Twice CCLI
DILL	Salmon seasoning
DIM	Hardly promising
DIN	Racket
DINAH	1932 #1 hit for Bing Crosby
DINGUS	Doohickey
DIODE	Laser pointer part
DIOR	Christian born in France
DIP	Quick swim
DIRGE	Mournful melody
DISCO	Beat-based music
DISEASES	Epidemiologist's study
DISH	Act the gossip
DISHUP	Serve
DISMISS	Stop considering
DISOWNS	Washes one's hands of
DISRUPT	Throw into confusion
DISS	Insult
DISTORT	Give a misleading account of
DITCH	Get rid of
DIVIDED	Not unanimous
DJIBOUTIQUE	Fashion outlet on the Red Sea?
DLI	Mid-6th-century date
DMV	74-Across issuer
DNA	CSI find
DNASTRAND	Double helix component
DODOS	Knuckleheads
DODOUBLEDUTY	The stand-in always has to ___
DOE	Buck companion
DOERR	Hall of Fame second baseman Bobby
DOERS	Industrious ones
DOES	They may go for a few bucks
DOES	They may go for the big bucks
DOESIT	Words after easy or that
DOFFED	Removed
DOG	Frank
DOGS	A few pointers, say
DOHA	Qatar's capital
DOJO	Place to get a belt
DOLAN	Cablevision CEO James
DOLL	Sweetie pie
DOLLS	They wear very little clothing
DOM	Joe DiMaggio's younger brother
DOMED	Like some stadiums
DOMINO	Something spotted in a toy store
DONALD	Kiefer's father
DONAT	Oscar winner as Mr. Chipping
DONEDEAL	It's been inked
DONHO	Singer born in Kaka'ako
DONOGOOD	Be futile
DONTSTOPATNOTHING	Clinton campaign song/Use any tactics necessary
DOO	___-wop
DOODAD	Whatsis
DOOLITTLE	Aviator Jimmy who won the Medal of Honor
DOOMS	Consigns to a disastrous fate
DOORSTOPWATCH	Wedge, perhaps/"60 Minutes" symbol
DORA	Dumb girl in "Match Game" questions
DORA	Explorer whose last name is Marquez
DORAG	Hip-hop headwear
DORIAN	Gray seen in a portrait
DOS	Salon jobs
DOSED	Given medicine
DOSES	Dispensary amounts
DOT	Ellipsis unit
DOTED	Acted like a new grandparent
DOTOOMANY	Part 6 of the quotation
DOTTIE	West of country music
DOTTIER	More flaky
DOUG	The Bourne Identity director Liman
DOUSE	Soak
DOWJONESAVERAGE	Barometer for brokers
DOYA	1977 hit for ELO
DPS	They result in two outs, in MLB
DRAB	Dull and dreary
DRAC	Horror film sucker, informally
DRACO	Rival of Harry and Ron
DRAIN	Plumber's concern
DRAIN	Take the color out of
DRAM	Apothecary's weight
DRAMAS	Many hour-long shows
DRAMEDY	25-Down, for one
DRAWLS	Does an Andy Griffith impersonation
DRAWNIN	Beguiled
DRE	Snoop's "Deep Cover" collaborator
DREAM	REM sleep event
DREAMTUP	Devised
DRED	First name in a famous 1857 decision
DREDGE	Oysterman's apparatus
DREI	Number of e's in "Schadenfreude"
DRESS	Slip cover?
DRESSY	Smart
DRIP	Icicle former
DRIP	Icicle, originally
DRIPS	Plumbing problems
DRISTAN	Sudafed rival
DROIDS	Some Tatooine workers
DROPBY	Visit
DROPTHEBALL	Fail to follow through like a major leaguer
DRSEUSS	Creator of the Grinch
DRUGALLERGY	Pharmacist's concern
DRUGS	Just what the doctor ordered
DRWHO	Last of the Time Lords
DRY	Funny in a subtle way
DSM	Prestigious mil. award
DST	August hrs.
DST	Summer hrs.
DTS	Rehab ordeal
DUCE	Mussolini moniker
DUCT	Ventilation system part
DUE	Expected any minute
DUES	Union jack?
DULLS	Takes the edge off
DUMA	Lower house of Russia's legislature
DUMABLONDEJOKES	Gags about fair-haired Russian parliamentarians?
DUMAURIER	Rebecca writer
DUNNE	The Two Mrs. Grenvilles writer
DUSTER	Long coat
DVD	Redbox rental
DVORAK	From the New World composer
DWEEB	Brainy misfit
DWI	Subject of a MADD crusade
DXI	LXXIII septupled
DYAN	Cannon in the movies
DYE	Salon supply
DYER	Denim worker
DYES	Batik artist's collection
DYES	Makes Easter eggs
EACH	Individually
EACH	Pricing word
EAGERLY	How presents are often opened
EAGLESHOUT	Cheer from a Philly football fan?
EAGLETS	Aerie infants
EAR	It may be lent or bent
EAR	Listening device
EARL	Tupperware founder Tupper
EARLHINES	Jazz piano legend
EARLS	Their wives are countesses
EARN	Take in
EARNED	Like interest
EARNS	Brings in
EARNS	Brings in
EARP	Clanton foe
EARS	Some hold spectacles
EARTH	Kittenish Kitt
EARTHA	Kittenish Kitt
EASE	Comfort
EASE	Loosen
EASE	Pacific state
EASED	Alleviated
EASEL	Presentation aid
EASELS	Presenters' props
EASTERN	Airline shut down in 1991
EASTERN	Toronto's time zone
EASY	Cushy
EASY	Free from stress
EASYAS	Average boosters
EAT	Absorb, as a cost
EAT	Attack a hero?
EAT	Finish off
EAT	Have a nosh
EAT	Take a side, say
EATAT	Trouble
EATAT	Trouble
EATEN	Put away
EATIT	Weird Al Yankovic's first hit
EATME	Words spelled out in currants on a Wonderland cake
EATS	Grub
EAU	Glace, essentiellement
EBAN	Israel's Abba
EBAY	PayPal parent
EBAY	PayPal parent
EBB	Decrease
EBBED	Declined
EBBING	On the wane
EBBS	Falls back
EBERLE	Ray who sang with the Glenn Miller Orchestra
EBON	Like Death's dart, to Shakespeare
EBONDS	Treasury offerings until 1980
EBOOKS	Kindle fodder
EBRO	River through Catalonia
ECHO	Audio feedback problem
ECHO	Letter before Foxtrot
ECO	Environmentalist's prefix
ECO	Friendly leader?
ECO	Start for type or tourism
ECOL	Green area: Abbr.
ECOLI	Intestinal bacteria, for short
ECON	Biz school course
ECON	Bus. sch. course
ECOTYPE	Environmental subspecies
ECTO	Outside opening?
ECU	Euro's forerunner
EDAM	Wax-covered cheese
EDD	Baseball Hall of Famer Roush
EDEN	Tree of Life setting
EDENS	Perfect places
EDER	Broadway singer Linda
EDER	Broadway singer Linda
EDER	Broadway singer Linda
EDGAR	Guest in the bookstore
EDGER	Landscaping gizmo
EDGY	Out there, in pop culture
EDHS	Old English letters
EDIE	Emmy winner Falco
EDIE	Falco of "Nurse Jackie"
EDIE	Peter Gunn's girlfriend
EDIFIED	Uplifted
EDISON	Holder of 1,093 U.S. patents
EDITH	Head of the costume department
EDITH	Head with eight Oscars
EDITS	Fixes a draft
EDITS	Manuscript markings
EDITS	Prunes, in a way
EDNA	Best on stage
EDNA	Writer Ferber
EDNABEST	She played Leslie Howard's wife in "Intermezzo"
EDNASTVINCENTMILLAY	Love Is Not All writer
EDNORTON	Old television's "Raccoon of the Year"
EDO	Japanese capital, formerly
EDS	Mag. honchos
EDSEL	New car of 1957
EDT	Financial District summer hrs.
EDT	Hot time in D.C.
EDWARDI	King called "the hammer of the Scots"
EEE	A really big shoe
EEE	Big foot letters
EEE	Seldom-stocked shoe size
EEK	Sound heard at the start?
EEL	It lacks a pelvic fin
EEL	Migratory fish
EEL	Reef denizen
EEN	Still, to Shakespeare
EENIE	Counting rhyme starter
EERIE	Causing goose bumps
EERIE	Evoking goose bumps
EERIE	Uncanny
EERIER	More chilling
EFFACES	Blots out
EFFECTS	Creature feature feature
EFS	Office couple?
EFS	Two-thirds off?
EGAD	Quaint oath
EGADS	Crikey!
EGADS	Gloriosky!
EGAL	Even, to Yves
EGGO	Freezer-to-toaster brand
EGGROLL	Spring White House event
EGGS	Diner delivery
EGO	Inflation victim?
EGO	It's subject to inflation
EGOIST	Diva, traditionally
EGOISTE	Chanel fragrance
EGOISTICAL	Based on self-interest
EGOTIST	Swellhead
EGYPTIANMOMMY	Old lady in Luxor?
EIDER	It may get you down
EIDER	It might get you down
EIDERS	Suppliers in a down market
EIN	A, in Aachen
EIN	Article in Der Spiegel
EINS	Start of a German count
EIRE	Cork's country
EIRE	Wilde country
EIRE	Word on some euros
EKEBY	Beat, just barely, in sports headlines
EKES	Squeezes (out)
EKGS	Cardiology charts, for short
ELAH	In the Valley of ___ (Tommy Lee Jones movie)
ELAINE	Former labor secretary Chao
ELAINE	Friend of Jerry and George
ELAL	Airline that doesn't fly on the Sabbath
ELAL	Carrier whose name means "skyward"
ELAL	Flier since 1948
ELAL	Flier to Ben Gurion International
ELAM	Jack of "Rio Lobo"
ELAN	Joie de vivre
ELASTIC	Ring for boxers?
ELATE	Lift the spirits of
ELATE	Make rhapsodic
ELBA	Isle of exile
ELBATOAST	*"Here's to you, Napoleon!" perhaps?
ELCID	Hero who fought the Moors
ELD	Days of yore
ELEANOR	The Lion in Winter queen
ELEANOR	Mother of Richard I and John
ELEANORRIGBY	Lonely lady of song
ELECTOR	Member of a certain college
ELECTS	Puts in
ELEGANT	Refined
ELEM	Sch. type
ELENA	Colleague of Antonin, Clarence and Sonia
ELF	Brownie, e.g.
ELF	Pole worker
ELF	Tolkien's Galadriel, for one
ELI	Hostel director Roth
ELI	Bulldog backer
ELI	Manning with two Super Bowl rings
ELI	Peyton's little brother
ELI	Peyton's younger brother
ELIA	Lamb pseudonym
ELIAS	Author Canetti
ELIAS	Big name in sports statistics
ELICARDIGAN	For DANIEL CRAIG, a sweater from the Yale student store
ELICIT	Bring out
ELICITS	Draws out
ELIE	Peace Nobelist Wiesel
ELIHU	Philanthropist Yale
ELIS	16-Down students
ELIS	Bulldog backers
ELIXIR	Magical drink
ELIZA	Henry tutors her
ELK	Rockies ruminant
ELK	Yellowstone resident
ELL	Angled pipe
ELL	Angled pipe
ELL	Architect's extension
ELL	Building extension
ELL	Perpendicular extension
ELL	Wing
ELLE	Fanning of "We Bought a Zoo"
ELLEN	Name in daytime talk
ELLEN	Page of "Inception"
ELLORA	Cave temple site of India
ELLY	Jed's daughter
ELM	Barrel material
ELMAN	Heifetz contemporary
ELMAN	Violinist Mischa
ELMER	Glue-selling bull
ELMOS	Saint ___ fire
ELMWOOD	Berkeley neighborhood
ELO	Can't Get It Out of My Head band, for short
ELO	Evil Woman group
ELO	Sweet Talkin' Woman band
ELON	Carolina university
ELOPED	Skipped the ceremony
ELPASO	#1 hit for Marty Robbins
ELROY	Football's Hirsch, known as "Crazylegs"
ELS	2002 British Open champ
ELS	Golf's Ernie
ELS	High lines
ELS	Raised trains
ELS	Sights on Third Avenue in the mid-20th century
ELS	Urban railways
ELSA	Designer Schiaparelli
ELSA	Lanchester of "Witness for the Prosecution"
ELSA	Lohengrin's love
ELSE	Besides that
ELUDED	Gave the slip
ELUDED	Shook off
ELUSIVE	Close to unattainable
EMAIL	Spam source
EMAJOR	Key of Haydn's Symphony No. 12
EMBOSS	Make stand out
EMCEE	Introductions handler
EMDEN	Port west of Hamburg
EMEERS	Princes of the Middle East
EMERGE	Become noticeable
EMERSON	Nature essayist
EMI	Blue Note Records' parent company
EMI	British recording giant
EMIGRE	Asylum seeker
EMILIO	Designer Pucci
EMIR	OPEC meeting VIP
EMIRS	Mideast moguls
EMIT	Discharge
EMMA	Clueless was a retelling of it
EMMA	Handsome, clever and rich title character of 1815
EMMA	Stone of "The Amazing Spider-Man"
EMMA	Watson of the Harry Potter films
EMMATHOMPSON	*Player of Professor Trelawney in the Harry Potter films
EMME	Model who hosted "Fashion Emergency"
EMMETT	Adoptive brother of Edward in "Twilight"
EMMETT	Clownish Kelly
EMOTERS	Scenery chewers
EMOTES	Hams it up
EMPORIO	Bolognese boutique
EMS	Ambulance abbr.
EMS	Chummy couple?
EMT	CPR specialist
EMTS	911 responders, for short
EMTS	CPR experts
EMTS	CPR specialists
EMU	Aussie with a good kick
EMU	Bird with a powerful kick
EMU	Five-foot-tall bird
EMU	Part of Australia's coat of arms
EMUS	Layers of dark green eggs
ENAMEL	Dentin cover
ENAMOR	Infatuate
END	Outcome
END	Terminate
ENDE	Momo writer Michael
ENDE	The Neverending Story author
ENDGAME	Board finish
ENDING	Windup
ENDO	Inner, in combinations
ENE	D.C.-to-Dover dir.
ENE	Ending for ethyl
ENEMIES	Some are bitter
ENER	45-Down that oversees Los Alamos Natl. Laboratory
ENERO	Dia de los Reyes Magos month
ENG	H.S. class
ENG	Home of Queen Eliz.
ENGR	Many an MIT grad
ENGS	Some MIT grads
ENGULFS	Swallows up
ENIAC	Pioneering computer
ENID	Chisholm Trail stop
ENID	City roughly 100 miles west of Tulsa
ENID	Thora Birch's "Ghost World" role
ENIDS	Writers Blyton and Bagnold
ENL	Photo lab abbr.
ENLACE	Tangle around
ENLAI	Chou of China
ENNIS	Administrative center of County Clare
ENNUI	Listlessness
ENO	Ambient music's Brian
ENOS	The Dukes of Hazzard spinoff
ENOS	Nephew of Cain and Abel
ENOS	Son of Seth
ENOUNCE	Articulate
ENRICH	Make more nutritious
ENROUTE	Along the way
ENS	Capt.'s aide
ENSIGN	Petty officer's superior
ENSNARE	Sucker
ENTAIL	Necessitate
ENTHUSED	Gung-ho
ENTITY	Being
ENTO	Inner: Prefix
ENTRAIN	Board, in a way
ENTRE	Between, to Baudelaire
ENTREAT	Petition
ENTS	Sinus specialists, for short
ENUF	Sufficient, in the comics
ENUF	Sufficient, slangily
ENYA	Caribbean Blue singer
ENYA	Winner of four New Age Grammys
EOE	Job listing letters
EOM	Around the 30th: Abbr.
EON	Billion years
EON	DMV wait time, seemingly
EON	Lengthy interval
EON	Near-eternity
EON	Time it seemingly takes to get a tax refund
EOS	Canon camera brand
EPA	Energy Star org.
EPA	Energy Star program org.
EPAULET	Shoulder adornment
EPAULET	Uniform adornment
EPCOT	Center of Florida
EPEE	Fencing sword
EPEE	It has a duel purpose
EPIC	Cast-of-thousands film
EPIC	It may have many chapters
EPIC	Of mammoth proportions
EPIC	Totally cool
EPICTALE	It's a long story
EPICWIN	Amazing triumph
EPIDEMIC	Widespread
EPISTLE	Literary letter
EPPIE	Silas Marner's adopted daughter
